mcts_sims,flip7_weight,opponent,games,mcts_wins,opponent_wins
10,0,random,2,1,1
10,0,heuristic,2,0,2
10,10,random,2,2,0
10,10,heuristic,2,0,2
10,25,random,2,2,0
10,25,heuristic,2,0,2
10,50,random,2,1,1
10,50,heuristic,2,0,2
10,100,random,2,2,0
10,100,heuristic,2,0,2
100,0,random,2,1,1
100,0,heuristic,2,0,2
100,10,random,2,2,0
100,10,heuristic,2,0,2
100,25,random,2,2,0
100,25,heuristic,2,0,2
100,50,random,2,0,2
100,50,heuristic,2,0,2
100,100,random,2,1,1
100,100,heuristic,2,0,2
1000,0,random,2,2,0
1000,0,heuristic,2,0,2
1000,10,random,2,0,2
1000,10,heuristic,2,0,2
1000,25,random,2,1,1
1000,25,heuristic,2,0,2
1000,50,random,2,0,2
1000,50,heuristic,2,0,2
1000,100,random,2,1,1
1000,100,heuristic,2,0,2
